,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
0,2,1,3.5,3.3,2.1,1,3,6,11,16,137,67,117,53,8,2,0,15,6,161,78,72,30
1,2,2,2.5,3.3,2.88,3,1,6,8,16,134,64,151,77,3,3,4,11,18,104,44,87,36
2,1,2,1.91,3.4,4.2,4,2,4,10,15,120,58,124,56,2,2,6,11,15,134,59,100,46
3,2,1,3.25,3.25,2.3,5,2,3,22,12,177,82,74,37,6,3,1,19,8,169,95,113,58
4,3,0,1.2,6.0,19.0,7,2,1,15,8,161,72,74,31,3,2,5,10,17,143,69,134,69
5,1,2,2.38,3.3,3.0,3,3,4,9,11,102,47,133,77,4,2,4,11,13,126,59,122,59
6,1,3,2.6,3.25,2.8,4,1,5,15,16,125,63,153,73,4,3,3,13,16,103,51,138,76
7,0,1,2.25,3.25,3.4,5,2,3,15,17,89,37,173,73,2,2,6,7,12,128,64,148,74
8,0,0,1.8,3.4,5.0,3,2,5,12,14,126,61,106,49,3,1,6,10,17,75,34,144,70
9,1,2,1.7,3.8,5.0,6,2,2,17,11,95,42,143,73,3,2,5,9,15,105,51,160,79
10,1,2,2.25,3.3,3.3,3,1,6,20,18,125,69,102,47,2,3,5,12,15,139,70,121,51
11,0,2,8.0,4.33,1.44,2,4,4,10,18,96,40,92,41,7,2,1,22,4,177,81,100,46
12,2,1,2.38,3.25,3.1,3,2,5,8,9,125,57,129,62,3,2,5,13,17,90,46,126,50
13,0,2,1.5,4.0,7.0,6,2,2,24,12,170,80,88,44,5,2,3,14,11,101,47,141,69
14,0,0,2.5,3.25,2.88,3,1,6,14,18,129,69,142,69,5,2,3,13,13,121,58,118,56
15,2,2,2.1,3.3,3.6,2,2,6,13,19,94,46,125,52,3,3,4,12,13,132,61,101,46
16,1,2,2.0,3.4,3.8,2,3,5,9,19,93,39,103,47,3,3,4,10,12,103,47,124,69
17,2,1,3.3,3.3,2.25,4,2,4,9,8,125,58,132,63,3,3,4,13,14,137,69,121,53
18,0,2,6.0,3.75,1.62,3,2,5,8,11,127,68,154,76,7,2,1,16,7,152,74,69,29
19,0,3,12.0,5.0,1.3,3,2,5,9,18,129,64,136,73,7,2,1,20,4,177,84,95,42
20,1,1,1.83,3.5,4.5,4,3,3,14,16,106,50,136,80,4,2,4,10,14,108,52,156,83
21,2,2,2.88,3.25,2.5,5,1,4,14,17,99,42,173,76,3,1,6,19,16,119,66,105,47
22,0,0,1.25,5.5,15.0,8,1,1,18,7,155,76,78,37,4,2,4,10,9,136,69,122,60
23,0,0,5.0,3.6,1.73,6,1,3,16,11,101,49,142,72,6,2,2,19,9,167,93,115,63
24,1,3,1.91,3.4,4.33,3,3,4,9,14,103,50,165,89,3,1,6,8,13,124,68,155,76
25,3,0,3.25,3.4,2.2,2,2,6,18,18,120,63,101,46,5,2,3,21,14,164,76,91,47
26,2,2,1.8,3.6,4.5,4,3,3,10,13,130,62,117,59,5,2,3,16,14,95,41,176,78
27,1,0,2.2,3.3,3.4,3,2,5,9,14,70,34,149,74,3,1,6,9,21,128,60,131,70
28,0,1,2.1,3.4,3.5,3,3,4,10,12,103,48,127,71,2,2,6,10,17,138,75,143,68
29,1,0,1.73,3.75,4.75,3,2,5,13,15,141,73,122,61,2,3,5,9,17,98,40,104,48
30,1,0,2.5,3.3,2.88,2,4,4,9,15,140,64,106,48,4,4,2,15,14,104,50,141,80
31,1,4,2.25,3.3,3.3,3,3,4,10,10,107,48,131,71,4,1,5,10,12,123,65,159,75
32,0,0,1.57,3.8,6.5,5,2,3,14,10,96,47,131,63,3,3,4,8,8,123,63,133,63
33,0,0,2.2,3.3,3.4,3,3,4,9,15,118,59,151,79,2,3,5,15,18,106,51,119,44
34,1,1,2.4,3.4,2.88,4,2,4,9,12,75,42,144,73,4,3,3,16,15,102,45,174,79
35,2,1,1.73,3.6,5.0,3,3,4,9,14,135,62,110,50,2,1,7,6,20,126,58,124,67
36,0,1,1.91,3.5,4.0,4,2,4,13,13,137,69,120,62,3,4,3,12,13,108,52,144,82
37,0,1,4.33,3.6,1.83,3,2,5,20,15,117,64,98,46,5,3,2,18,9,166,91,113,66
38,3,2,2.1,3.3,3.6,3,4,3,10,14,119,54,125,65,2,3,5,9,14,101,47,109,53
39,1,2,1.8,3.4,5.0,7,2,1,22,4,184,87,97,36,4,2,4,17,17,162,76,91,48
40,0,0,1.3,5.0,12.0,7,2,1,16,6,159,74,76,38,3,2,5,9,14,131,69,147,67
41,1,0,1.14,7.5,23.0,6,3,1,18,7,172,95,106,57,3,2,5,10,13,114,51,123,66
42,1,0,1.33,4.75,11.0,4,2,4,16,17,153,76,94,47,4,2,4,11,15,137,64,115,52
43,2,2,1.8,3.5,4.75,2,4,4,14,16,104,54,127,48,4,3,3,8,10,80,45,145,75
44,1,3,5.5,3.5,1.73,1,3,6,10,17,99,47,103,50,7,2,1,16,6,157,72,79,39
45,1,1,2.6,3.2,2.8,3,4,3,8,7,117,60,141,67,2,2,6,14,16,117,60,101,52
46,0,2,7.0,3.8,1.53,5,1,4,13,10,121,62,155,76,7,1,2,22,5,184,88,100,40
47,2,1,2.38,3.25,3.1,4,3,3,15,14,100,46,174,80,3,4,3,9,13,118,54,145,74
48,4,0,1.53,4.2,6.0,9,1,0,34,7,161,78,57,33,5,3,2,18,14,108,56,99,43
49,2,3,2.62,3.25,2.75,4,3,3,11,11,100,50,151,84,4,3,3,12,9,103,49,124,58
50,1,1,2.62,3.25,2.75,2,1,7,6,20,132,60,129,70,4,4,2,13,10,114,54,124,62
51,0,2,2.75,3.25,2.62,2,3,5,6,13,125,68,160,69,4,1,5,13,14,140,68,113,62
52,2,2,1.33,5.0,10.0,7,2,1,17,7,152,69,79,39,4,3,3,15,14,111,49,159,74
53,4,0,2.0,3.4,3.8,2,2,6,8,14,98,41,131,64,1,2,7,6,21,130,58,114,62
54,0,0,4.5,3.5,1.83,5,1,4,15,12,140,70,120,62,7,2,1,18,6,182,97,82,42
55,4,2,1.67,3.6,5.5,4,3,3,13,10,95,45,126,63,5,1,4,13,10,130,65,133,61
56,1,1,4.5,3.6,1.8,3,4,3,10,14,106,50,146,71,5,2,3,16,15,142,67,102,51
57,0,1,2.0,3.4,3.8,2,3,5,14,15,119,59,102,55,4,3,3,13,12,104,55,141,79
58,3,0,2.1,3.3,3.6,3,2,5,9,15,141,67,114,47,0,3,7,9,19,97,43,107,54
59,2,0,1.57,3.8,6.0,9,1,0,32,6,159,77,55,33,5,2,3,19,18,160,84,109,46
60,0,3,2.05,3.2,3.4,3,5,2,12,11,112,51,125,62,2,5,3,15,15,99,49,125,48
61,1,1,1.25,5.5,15.0,7,1,2,21,4,178,87,106,45,1,3,6,4,14,123,64,154,71
62,0,1,3.0,3.4,2.37,1,4,5,4,12,112,60,166,81,5,3,2,17,10,99,47,108,49
63,3,0,1.83,3.5,4.5,0,3,7,9,20,101,43,98,47,4,3,3,10,12,87,47,125,66
64,3,0,2.2,3.25,3.5,3,5,2,8,6,109,60,140,65,2,5,3,10,15,108,51,143,70
65,2,1,2.2,3.25,3.4,4,1,5,12,13,127,60,131,60,2,5,3,10,13,112,47,125,61
66,1,4,2.1,3.25,3.75,3,4,3,16,16,112,48,155,71,3,2,5,11,12,104,46,137,70
67,1,0,1.9,3.4,4.0,4,2,4,17,19,151,79,110,47,5,2,3,17,17,109,63,99,43
68,1,1,2.4,3.25,3.0,5,2,3,16,15,147,71,102,49,6,3,1,16,7,164,75,84,40
69,2,1,2.37,3.4,3.0,3,5,2,17,13,102,50,136,49,5,2,3,15,11,122,60,127,68
70,2,1,3.25,3.3,2.25,0,2,8,5,25,136,65,115,64,2,3,5,12,13,124,63,101,52
71,0,0,5.0,3.6,1.73,5,2,3,12,10,104,55,139,76,7,1,2,21,4,177,87,95,38
72,3,0,1.33,4.5,12.0,5,4,1,14,6,159,74,83,40,5,0,5,14,14,133,63,135,66
73,0,0,2.25,3.25,3.3,4,1,5,14,12,109,46,136,72,1,2,7,12,20,102,48,99,46
74,0,0,1.72,3.6,5.0,5,2,3,15,11,123,61,125,68,4,5,1,11,5,112,65,141,65
75,2,2,2.5,3.3,2.87,6,2,2,18,10,97,47,118,58,4,3,3,14,15,133,63,108,52
76,0,1,2.5,3.3,2.87,2,5,3,10,13,110,53,143,72,5,3,2,11,7,109,60,132,72
77,5,1,1.8,3.6,4.5,2,2,6,11,13,115,62,108,55,2,4,4,16,20,114,53,153,69
78,1,4,2.2,3.25,3.4,2,4,4,11,15,115,51,129,63,1,4,5,4,12,115,65,166,84
79,0,1,12.0,5.0,1.3,4,3,3,10,13,92,45,115,59,6,3,1,16,6,167,88,82,42
80,2,1,2.25,3.3,3.25,4,2,4,12,14,125,57,119,49,4,4,2,17,12,97,44,136,52
81,2,0,1.14,7.5,21.0,6,2,2,19,4,171,81,98,41,1,2,7,7,22,142,68,113,63
82,1,0,1.4,4.5,10.0,3,4,3,14,17,119,56,110,53,2,3,5,11,18,114,55,133,64
83,2,1,1.72,3.6,5.5,2,4,4,8,11,118,65,167,89,4,3,3,9,12,92,46,113,56
84,3,0,1.8,3.6,5.0,6,2,2,11,6,105,54,120,67,4,1,5,14,12,110,48,131,65
85,1,5,5.0,3.6,1.8,4,3,3,16,12,97,45,129,51,5,4,1,16,6,171,81,68,35
86,2,2,2.62,3.3,2.87,1,2,7,11,19,101,49,111,54,2,2,6,13,14,119,63,109,55
87,2,2,6.5,3.75,1.61,4,5,1,11,5,109,62,144,67,6,2,2,19,4,167,80,100,44
88,0,1,2.3,3.25,3.4,5,0,5,14,15,126,62,138,68,5,2,3,12,12,134,63,107,44
89,2,0,3.5,3.4,2.2,1,2,7,7,21,125,59,124,71,4,3,3,13,11,123,63,127,73
90,1,0,1.2,6.5,19.0,6,3,1,15,6,168,88,82,42,2,4,4,9,13,114,57,142,74
91,0,1,4.33,3.6,1.91,1,4,5,14,25,113,53,145,64,5,3,2,16,12,103,50,107,55
92,3,1,2.1,3.4,3.4,4,2,4,15,18,120,71,103,45,4,3,3,20,17,102,47,126,68
93,1,0,1.36,4.33,11.0,4,3,3,11,13,112,53,107,54,5,0,5,14,15,123,58,138,68
94,2,1,1.4,4.33,9.0,5,3,2,14,10,103,51,101,51,2,2,6,8,19,124,61,120,72
95,1,1,2.25,3.2,3.4,1,4,5,7,14,115,54,156,75,3,1,6,12,14,106,51,130,62
96,2,2,2.2,3.3,3.4,4,3,3,16,15,95,45,132,59,3,4,3,10,10,131,74,156,82
97,3,3,2.0,3.3,3.8,4,2,4,14,17,112,66,109,47,3,4,3,15,15,121,57,119,62
98,3,0,2.2,3.2,3.5,6,3,1,12,6,183,90,84,42,5,3,2,16,6,174,89,94,41
99,1,0,2.5,3.25,2.88,6,2,2,13,8,127,63,117,49,4,2,4,9,9,121,65,120,71
100,1,0,1.2,6.0,15.0,7,2,1,14,5,175,86,80,38,7,2,1,14,6,132,64,114,52
101,1,2,3.25,3.25,2.25,3,2,5,13,14,107,51,130,62,6,3,1,16,9,119,64,100,52
102,1,0,2.0,3.4,3.75,2,3,5,15,14,114,53,114,57,6,2,2,12,6,133,60,107,50
103,3,0,2.0,3.4,3.8,1,3,6,11,18,100,49,115,53,3,4,3,16,16,103,48,130,63
104,0,1,8.0,3.8,1.5,4,0,6,12,16,112,53,139,68,7,2,1,13,5,167,81,89,40
105,3,0,2.38,3.3,3.0,2,1,7,7,19,119,60,135,82,1,4,5,7,14,112,50,153,71
106,1,3,5.5,4.0,1.62,1,4,5,14,23,109,52,131,64,5,3,2,11,11,113,56,105,54
107,2,1,1.2,6.5,15.0,5,3,2,16,8,166,89,97,45,3,3,4,8,13,92,47,122,63
108,1,1,1.73,3.6,5.0,3,2,5,7,9,118,64,117,71,2,3,5,11,18,115,58,126,61
109,3,1,2.1,3.3,3.6,3,4,3,11,11,129,75,161,81,4,5,1,12,6,104,58,145,73
110,1,1,1.62,3.75,6.0,5,4,1,20,7,167,83,73,40,6,2,2,13,6,105,51,110,60
111,1,0,2.25,3.3,3.5,3,2,5,13,14,105,51,128,61,3,5,2,11,9,104,62,149,75
112,3,1,1.61,3.8,6.5,2,3,5,6,9,132,74,119,69,3,3,4,9,12,86,42,146,74
113,0,5,10.0,5.0,1.36,3,1,6,10,16,125,64,134,77,7,2,1,10,2,169,87,90,40
114,0,1,3.25,3.4,2.3,2,4,4,11,17,107,54,138,67,7,3,0,17,8,109,56,94,51
115,2,0,1.83,3.6,4.75,4,4,2,13,9,125,70,159,83,1,4,5,12,22,108,53,127,62
116,1,1,5.0,3.5,1.83,6,1,3,12,7,136,59,116,51,5,5,0,20,6,160,83,70,40
117,1,1,3.0,3.3,2.5,5,3,2,13,7,101,51,103,58,5,3,2,12,11,113,55,92,49
118,2,2,2.0,3.25,4.5,2,2,6,12,16,100,48,110,49,3,0,7,11,17,110,49,142,73
119,2,0,1.25,6.0,15.0,5,3,2,15,9,184,105,90,42,0,4,6,5,16,109,48,148,67
120,1,0,1.36,4.5,10.0,8,2,0,14,0,162,84,92,38,4,4,2,11,7,98,52,94,51
121,0,0,1.5,4.2,7.0,5,4,1,13,10,107,51,93,49,5,3,2,15,9,134,70,163,89
122,0,0,1.61,3.7,6.0,7,3,0,16,8,111,54,101,51,6,1,3,11,6,128,57,109,48
123,0,0,2.5,3.3,2.87,0,3,7,4,17,108,52,157,72,2,3,5,14,16,106,56,100,41
124,3,1,2.0,3.3,4.0,3,5,2,11,9,105,64,155,82,1,4,5,9,17,120,59,139,65
125,3,2,2.75,3.3,2.62,3,1,6,13,17,100,40,140,77,3,3,4,8,8,142,80,109,57
126,2,2,2.2,3.2,3.5,1,4,5,12,23,110,57,142,65,3,1,6,10,18,126,65,132,76
127,1,0,3.25,3.3,2.25,2,3,5,9,15,82,39,155,81,3,3,4,16,12,113,48,120,57
128,2,0,2.5,3.1,3.1,4,6,0,18,7,159,78,71,40,5,3,2,15,9,192,108,91,45
129,1,1,2.6,3.2,2.8,2,4,4,14,19,102,46,131,65,3,2,5,12,13,113,58,128,62
130,0,3,3.6,3.2,2.1,3,4,3,12,14,166,91,83,32,5,3,2,20,14,135,73,131,74
131,2,0,1.83,3.5,4.5,3,3,4,13,13,116,64,138,70,2,3,5,8,14,84,39,158,83
132,3,0,1.72,3.4,5.5,4,3,3,10,7,91,50,103,60,3,1,6,13,18,103,43,130,75
133,1,0,1.61,3.75,6.0,3,3,4,15,11,120,48,115,55,0,4,6,3,14,94,48,166,82
134,0,2,2.87,3.3,2.5,2,4,4,13,14,106,60,100,42,7,3,0,16,8,119,56,99,50
135,2,3,2.25,3.3,3.25,3,2,5,12,19,129,66,138,77,2,5,3,14,18,110,54,139,70
136,2,3,5.0,3.3,1.8,1,3,6,10,20,120,60,128,59,4,6,0,18,7,166,85,62,34
137,0,0,2.0,3.4,3.8,5,2,3,10,6,124,54,117,52,3,5,2,12,9,100,63,155,83
138,0,0,1.2,6.0,19.0,4,3,3,12,11,185,105,100,56,1,4,5,12,23,120,64,146,66
139,0,0,3.0,3.3,2.4,2,3,5,9,11,136,78,107,52,5,5,0,13,7,116,55,85,47
140,0,1,6.5,3.75,1.57,4,4,2,14,9,125,66,168,94,9,1,0,15,0,169,90,90,36
141,1,0,1.75,3.2,5.5,4,0,6,13,14,147,66,113,60,2,4,4,9,17,160,88,81,32
142,2,0,2.87,3.25,2.5,1,2,7,10,21,115,60,122,56,4,2,4,14,9,135,59,117,57
143,2,1,2.25,3.1,3.4,8,2,0,20,6,143,57,100,40,5,3,2,22,14,127,67,132,75
144,3,0,1.25,5.5,13.0,9,1,0,15,0,172,90,94,40,2,6,2,10,8,96,53,157,82
145,2,1,1.25,5.5,13.0,9,1,0,17,0,166,88,99,40,2,4,4,13,15,110,61,95,37
