,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
0,2,1,3.5,3.3,2.1,1,3,6,11,16,137,67,481,117,53,429,8,2,0,15,6,161,78,482,72,30,428
1,2,1,3.25,3.25,2.3,5,2,3,19,12,189,89,540,69,36,369,6,3,1,19,8,169,95,548,113,58,362
2,3,0,1.2,6.0,19.0,7,2,1,15,8,161,72,477,74,31,433,2,2,6,9,18,132,62,424,139,71,486
3,1,2,2.38,3.3,3.0,3,3,4,9,11,102,47,439,133,77,471,3,2,5,9,16,116,54,410,131,64,500
4,1,3,2.6,3.25,2.8,4,1,5,15,16,125,63,435,153,73,475,4,3,3,13,16,103,51,437,138,76,473
5,0,1,2.25,3.25,3.4,6,2,2,17,15,88,38,416,162,74,494,2,2,6,7,12,128,64,413,148,74,496
6,0,0,1.8,3.4,5.0,3,2,5,12,14,126,61,461,106,49,449,3,1,6,10,17,75,34,428,144,70,482
7,1,2,2.25,3.3,3.3,3,1,6,20,18,125,69,461,102,47,449,2,3,5,12,15,139,70,482,121,51,428
8,2,1,2.38,3.25,3.1,3,2,5,8,9,125,57,474,129,62,436,3,2,5,13,17,90,46,429,126,50,481
9,0,2,1.5,4.0,7.0,5,2,3,20,13,176,83,533,83,43,376,5,2,3,14,11,101,47,476,141,69,434
10,0,0,2.5,3.25,2.88,3,1,6,14,18,129,69,439,142,69,471,4,2,4,11,13,111,50,418,123,62,492
11,2,2,2.1,3.3,3.6,2,2,6,13,19,94,46,427,125,52,483,3,3,4,12,13,132,61,463,101,46,447
12,1,2,2.0,3.4,3.8,2,4,4,10,16,93,40,429,95,45,481,3,3,4,10,12,103,47,446,124,69,464
13,2,1,3.3,3.3,2.25,4,2,4,9,8,125,58,472,132,63,438,3,3,4,13,14,137,69,481,121,53,429
14,0,2,6.0,3.75,1.62,3,2,5,8,11,127,68,413,154,76,496,7,2,1,16,7,152,74,476,69,29,434
15,0,3,12.0,5.0,1.3,2,2,6,9,20,131,62,432,124,67,478,7,2,1,21,4,172,87,499,96,45,411
16,1,1,1.83,3.5,4.5,4,3,3,14,16,106,50,433,136,80,477,5,2,3,12,14,102,52,419,144,70,491
17,2,2,2.88,3.25,2.5,5,2,3,15,15,93,41,420,162,77,490,3,1,6,19,16,119,66,460,105,47,450
18,0,0,1.25,5.5,15.0,8,1,1,18,7,155,76,479,78,37,431,4,2,4,10,9,136,69,480,122,60,430
19,0,0,5.0,3.6,1.73,6,1,3,16,11,101,49,472,142,72,438,6,2,2,19,9,167,93,538,115,63,372
20,1,3,1.91,3.4,4.33,4,3,3,11,14,99,47,405,152,75,505,3,1,6,8,13,124,68,412,155,76,497
21,3,0,3.25,3.4,2.2,2,2,6,18,18,120,63,459,101,46,451,5,2,3,20,14,170,83,532,85,45,377
22,2,2,1.8,3.6,4.5,4,3,3,11,12,112,52,429,127,65,481,5,2,3,16,16,95,41,431,160,76,479
23,1,0,2.2,3.3,3.4,3,2,5,9,14,70,34,426,149,74,484,2,2,6,8,21,126,58,429,130,70,481
24,0,1,2.1,3.4,3.5,3,3,4,10,12,103,48,446,127,71,464,2,2,6,10,17,138,75,428,143,68,482
25,1,0,1.73,3.75,4.75,3,2,5,13,15,141,73,478,122,61,432,2,3,5,10,17,100,44,424,98,47,486
26,1,0,2.5,3.3,2.88,2,4,4,9,15,140,64,460,106,48,450,4,4,2,15,14,104,50,440,141,80,470
27,1,4,2.25,3.3,3.3,3,3,4,10,10,107,48,449,131,71,461,4,1,5,10,12,123,65,419,159,75,490
28,0,0,1.57,3.8,6.5,5,2,3,14,10,96,47,462,131,63,448,3,3,4,8,8,123,63,474,133,63,436
29,0,0,2.2,3.3,3.4,4,3,3,11,15,112,53,413,141,71,497,2,3,5,15,18,106,51,437,119,44,473
30,1,1,2.4,3.4,2.88,4,2,4,9,12,75,42,428,144,73,482,5,3,2,18,13,99,44,426,166,79,484
31,2,1,1.73,3.6,5.0,3,3,4,9,14,135,62,456,110,50,454,2,1,7,8,22,121,54,422,122,69,488
32,0,1,1.91,3.5,4.0,4,2,4,13,13,137,69,487,120,62,423,3,4,3,12,13,108,52,453,144,82,457
33,0,1,4.33,3.6,1.83,3,2,5,20,15,117,64,459,98,46,451,5,3,2,18,9,166,91,537,113,66,373
34,3,2,2.1,3.3,3.6,3,4,3,10,14,119,54,442,125,65,468,2,3,5,9,14,101,47,426,109,53,484
